analysis_result,text,category,predicted_label,predicted_confidence,primary_label,cluster_confidence,confidence_difference,assigned_topic,cluster_topic,Topic
Mislabeled,I feel like too much money was taken during my currency exchange.,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,0.522303224,card_payment_wrong_exchange_rate,0.600157456,-0.077854232,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,I would like a temporary virtual card,get_disposable_virtual_card,getting_virtual_card,0.809806347,getting_virtual_card,0.780269339,0.029537008,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,Can i get a single use virtual card,get_disposable_virtual_card,getting_virtual_card,0.560025275,getting_virtual_card,0.82557866,-0.265553385,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,how does a virtual card work,get_disposable_virtual_card,getting_virtual_card,0.397601455,getting_virtual_card,0.697821042,-0.300219586,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,Can i get a throw away card,get_disposable_virtual_card,order_physical_card,0.650004148,order_physical_card,0.483712131,0.166292017,virtual_disposable_cards,new_card,Without
Mislabeled,how many transactions can i make with a disposable card,get_disposable_virtual_card,disposable_card_limits,0.953023911,disposable_card_limits,0.772926359,0.180097552,virtual_disposable_cards,virtual_disposable_cards,Within
Mislabeled,"I really need money from my card today, but my card is getting declined. Please help!!",top_up_failed,declined_card_payment,0.481247395,declined_card_payment,0.448328316,0.032919079,top_up,card_malfunction,Without
Mislabeled,When will my transfer be available in my account.,balance_not_updated_after_bank_transfer,transfer_timing,0.960070133,transfer_timing,0.737929272,0.222140861,transfers,transfers,Within
Mislabeled,I didn't get the money I transferred,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.679181278,transfer_not_received_by_recipient,0.3590665,0.320114777,transfers,transfers,Within
Mislabeled,How long does a UK transfer take?,balance_not_updated_after_bank_transfer,transfer_timing,0.496072918,transfer_timing,0.675057416,-0.178984498,transfers,transfers,Within
Mislabeled,I made an out of country transfer and it hasn't went through yet.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.723447323,transfer_not_received_by_recipient,0.413940554,0.309506769,transfers,transfers,Within
Mislabeled,I transferred some money but it is yet to arrive.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.693220496,transfer_not_received_by_recipient,0.494439446,0.198781051,transfers,transfers,Within
Mislabeled,Why don't I have my transfer?,balance_not_updated_after_bank_transfer,failed_transfer,0.829955161,failed_transfer,0.702613293,0.127341867,transfers,transfers,Within
Mislabeled,How long until my transfer will be available to me,balance_not_updated_after_bank_transfer,transfer_timing,0.443067938,transfer_timing,0.735202463,-0.292134524,transfers,transfers,Within
Mislabeled,I need to cancel my card that got stolen a little while ago. Someone has already taken some money out and I don't want them to take anymore. Can you please do that?,cash_withdrawal_not_recognised,lost_or_stolen_card,0.422586113,lost_or_stolen_card,0.391521645,0.031064468,atm_cash_withdrawal,new_card,Without
Mislabeled,How do I cancel my card? There are charges on my account that I didn't make.,cash_withdrawal_not_recognised,card_payment_not_recognised,0.888161302,card_payment_not_recognised,0.423488331,0.46467297,atm_cash_withdrawal,card_payment,Without
Mislabeled,whats your exchange rate,exchange_charge,exchange_rate,0.972351432,exchange_rate,0.772280421,0.200071011,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Where do I find the exchange rate?,exchange_charge,exchange_rate,0.973204911,exchange_rate,0.897045673,0.076159238,exchange_rate_currency,exchange_rate_currency,Within
Mislabeled,Is it okay to use a bank card to top up,top_up_by_card_charge,topping_up_by_card,0.878879964,topping_up_by_card,0.398618107,0.480261857,top_up,top_up,Within
Mislabeled,WHAT CAN I DO AFTER THE CARD MISSING,activate_my_card,lost_or_stolen_card,0.93028748,lost_or_stolen_card,0.618048103,0.312239377,new_card,new_card,Within
Mislabeled,"When I got cash, I'm pretty sure there was a glitch that overcharged me.",cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal,0.942634165,wrong_exchange_rate_for_cash_withdrawal,0.399582776,0.54305139,atm_cash_withdrawal,exchange_rate_currency,Without
